,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
72,BBC Breaking News,"Six people killed after seaplane crashes into river in Australia, 30 miles (50km) north of Sydney https://t.co/GyV6oxRjCm",Sun Dec 31 08:57:54 +0000 2017,-0.6705,0.0,0.78,0.22
73,BBC Breaking News,"Firefighters tackling blaze at 12-storey block of flats in Manchester, as police warn people to avoid area https://t.co/fo331pwF82",Sat Dec 30 17:03:08 +0000 2017,-0.6705,0.0,0.698,0.302
74,BBC Breaking News,"Beatles drummer Ringo Starr and Bee Gees Barry Gibb knighted, and dancer Darcey Bussell becomes a dame, in New Year… https://t.co/D08tiwZTJD",Fri Dec 29 22:30:39 +0000 2017,0.0,0.0,1.0,0.0
75,BBC Breaking News,"New York City investigators believe Bronx fire that killed 12 caused by child playing with stove, says mayor https://t.co/ak89ScR5SC",Fri Dec 29 15:33:29 +0000 2017,-0.7269,0.073,0.648,0.279
76,BBC Breaking News,"At least 9 people killed in gun attack on a church near Cairo, say Egyptian authorities https://t.co/WO1NMhgmVK",Fri Dec 29 12:18:06 +0000 2017,-0.875,0.0,0.545,0.455
77,BBC Breaking News,Glasgow airport reopens after snow caused temporary closure https://t.co/vgLRoM7p7h,Fri Dec 29 10:06:14 +0000 2017,0.0,0.0,1.0,0.0
78,BBC Breaking News,Glasgow airport closes temporarily as snow hits parts of Scotland and northern England https://t.co/Rv0Jl92j68,Fri Dec 29 09:44:45 +0000 2017,0.0,0.0,1.0,0.0
79,BBC Breaking News,"New York fire is ""worst in several decades"". 

Mayor's office now confirms 12 people have been killed by late night… https://t.co/WixfJ4JpuB",Fri Dec 29 03:13:35 +0000 2017,-0.9001,0.0,0.621,0.379
80,BBC Breaking News,Images from New York as Bronx fire kills six people and seriously injures several: https://t.co/204NWRU9nL https://t.co/83f711ZN5Q,Fri Dec 29 02:55:42 +0000 2017,-0.765,0.0,0.631,0.369
81,BBC Breaking News,"Massive fire breaks out at popular Mumbai complex, killing at least 14 people, officials say: https://t.co/JM3qSBfYgG",Fri Dec 29 02:06:22 +0000 2017,-0.6124,0.124,0.575,0.301
82,BBC Breaking News,"He was Africa's first World footballer of the year, now George Weah is set to become Liberia's president https://t.co/GLD2rK3Pd7",Thu Dec 28 18:18:09 +0000 2017,0.0,0.0,1.0,0.0
83,BBC Breaking News,At least 40 killed in suicide bomb attack on Shia centre in Afghan capital Kabul https://t.co/smF3IjMgyA,Thu Dec 28 07:41:39 +0000 2017,-0.946,0.0,0.44,0.56
84,BBC Breaking News,"Police officer and woman, 61, die after head-on collision in Sheffield on Christmas Day https://t.co/MoMGnMrzEK",Tue Dec 26 13:20:27 +0000 2017,-0.7506,0.0,0.67,0.33
85,BBC Breaking News,British woman accused of bringing 300 painkiller tablets into Egypt jailed for three years https://t.co/Rq33xxSps5,Tue Dec 26 12:00:41 +0000 2017,-0.6597,0.0,0.707,0.293
86,BBC Breaking News,Russia's most senior football official quits temporarily after being given lifetime Olympic ban over doping scandal https://t.co/TXbUrfLQQj,Mon Dec 25 17:54:18 +0000 2017,-0.7579,0.0,0.698,0.302
87,BBC Breaking News,"North Korea says the latest UN sanctions imposed on the country are an ""act of war"" https://t.co/XcPyiSwkhq",Sun Dec 24 04:10:29 +0000 2017,-0.6369,0.0,0.743,0.257
88,BBC Breaking News,"London Zoo closed ""until further notice"" after fire leaves an aardvark dead and four meerkats missing https://t.co/6Ofc66FB2A",Sat Dec 23 12:51:59 +0000 2017,-0.836,0.0,0.611,0.389
